REGISTER WIDTH,32,,,,,,
,,,,,,,
0x08,TX_TX_CAP_LSB_REG,rw,0x00003000,,,,
,,15,TX_CALI_CTRL,,,,
,,11:08,TX_UPCONV_Q_CTRL,,,,
,,14:12,TX_DRVR_BIAS_CTRL,,,,
,,23:16,SPARE_TX_0,,,,
,,7:00,TX_UPCONV_CAP_CTRL_LSB,,,,
Register Address,Register Name:,Type,Default value,,,,
0x05,RX_GMC_TUNE_CTRL_REG,rw,0x00020294,,,,
,,20,CTRL_DC_RANGE_DIG,,,,
,,17:12,VCTU_SPI_DAC_TRIM,,,,
,,11,VCTU_OVRD,,,,
,,9:00,VCTU_COUNTER_CODE,,,,
,,19,RX_TESTQ_EN,,,,
,,18,RX_TESTI_EN,,,,
,,10,VCTU_EN,,,,
Register Address,Register Name:,Type,Default value,,,,
0x5A,DIGITAL_TONE_PHASE_REG,rw,0x00000318,,,,
,,18:00,tone_phase,,,,
Register Address,Register Name:,Type,Default value,,,,
0x32,DAC_CODE_CODE_2_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_04,,,,
,,5:00,dac_code_q_04,,,,
,,5:00,dac_code_q_05,,,,
,,5:00,dac_code_i_05,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3D,DAC_CODE_CODE_13_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_27,,,,
,,5:00,dac_code_i_26,,,,
,,5:00,dac_code_i_27,,,,
,,5:00,dac_code_q_26,,,,
Register Address,Register Name:,Type,Default value,,,,
0x55,DIGITAL_IR_PHASE_MS_REG,rw,0x00000000,,,,
,,13:00,ir_phase_ms,,,,
