Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"PHYPCIe_MN_Delta_Ztx_T","ZTXP2_Delta",19060001,"Parametric","",***,***,"mV",-2.243,83.95,43.1755,21.2484,***,***,***,40,0,0,0.0304079,***
"PHYPCIe_MN_Delta_Ztx_T","ZTXN2_Delta",19070001,"Parametric","",***,***,"mV",-0.65,87.811,54.929,22.4195,***,***,***,40,0,0,0.0304079,***
"PHYPCIe_MN_Delta_Ztx_T","Calc_TX_Zon_VDDMin",19085007,"Parametric","",40,70,"Ohm",0.0114,47.6575,41.4935,15.8772,0.0313546,0.0313546,0.59848,40,5,0,0.0304079,***
"PHYPCIe_MN_Delta_Ztx_T","Calc_TX_Zon_VDDMin",19085008,"Parametric","",40,70,"Ohm",-0.0001,47.6405,41.5396,15.8963,0.0322844,0.0322844,0.596793,40,5,0,0.0304079,***
"PHYPCIe_MN_Delta_Ztx_T","Calc_TX_Zon_VDDMin",19085009,"Parametric","",80,130,"Ohm",0.0113,95.2581,83.0331,31.7731,0.0318202,0.0318202,0.492733,40,5,0,0.0304079,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXP1_VDDMax",83000001,"Parametric","",***,***,"V",-2.073,1144.16,982.856,376.48,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXN1_VDDMax",83010001,"Parametric","",***,***,"V",-0.48,1145.45,990.756,379.394,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXP1_Delta",83020001,"Parametric","",***,***,"mV",-2.186,657.284,537.103,206.675,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXN1_Delta",83030001,"Parametric","",***,***,"mV",-0.48,660.398,554.229,212.45,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXP2_VDDMax",83040001,"Parametric","",***,***,"mV",-2.186,901.43,760.48,291.625,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXN2_VDDMax",83050001,"Parametric","",***,***,"mV",-0.537,903.349,772.993,296.112,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXP2_Delta",83060001,"Parametric","",***,***,"mV",-2.243,411.716,312.283,122.223,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","ZTXN2_Delta",83070001,"Parametric","",***,***,"mV",-0.537,415.973,333.997,128.443,***,***,***,40,0,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","Calc_TX_Zon_VDDMax",83085007,"Parametric","",40,70,"Ohm",0,53.4455,44.7195,17.1435,0.0917641,0.0917641,0.491548,40,5,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","Calc_TX_Zon_VDDMax",83085008,"Parametric","",40,70,"Ohm",0.0057,50.8316,43.7996,16.7654,0.0755445,0.0755445,0.520922,40,5,0,0.030003,***
"PHYPCIe_MX_Delta_Ztx_T","Calc_TX_Zon_VDDMax",83085009,"Parametric","",80,130,"Ohm",0.0171,103.737,88.5191,33.8946,0.0837801,0.0837801,0.407941,40,5,0,0.030003,***
"PHYPCIe_MN_Delta_Zrx_T","RXP_Zon_VDDMin",22000001,"Parametric","",***,***,"mA",-0.0089,5.29515,4.44562,1.70762,***,***,***,40,0,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","RXN_Zon_VDDMin",22010001,"Parametric","",***,***,"mA",-0.007139,5.24115,4.48456,1.71939,***,***,***,40,0,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","RXP_Zon_Delta",22020001,"Parametric","",***,***,"mA",-0.009736,2.06149,1.72869,0.66553,***,***,***,40,0,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","RXN_Zon_Delta",22030001,"Parametric","",***,***,"mA",-0.007122,2.03741,1.74481,0.670125,***,***,***,40,0,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","Calc_ZRX_on_VDDMin",22045007,"Parametric","",40,70,"Ohm",46.387,714286,61232.2,191387,-0.106524,0.106577,-0.106524,40,5,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","Calc_ZRX_on_VDDMin",22045008,"Parametric","",40,70,"Ohm",46.8203,8.82353e+06,235309,1.39345e+06,-0.0562726,0.0562798,-0.0562726,40,5,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T","Calc_ZRX_on_VDDMin",22045009,"Parametric","",80,140,"Ohm",93.2073,9.53782e+06,296541,1.51172e+06,-0.0653565,0.0653697,-0.0653565,40,5,0,0.0156165,***
"PHYPCIe_MN_Delta_Zrx_T_OFF","RXP_Zoff_VDDMin",22050001,"Parametric","",***,***,"uA",-2.741,-0.002,-2.21285,0.852447,***,***,***,40,0,0,0.0164561,***
"PHYPCIe_MN_Delta_Zrx_T_OFF","RXN_Zoff_VDDMin",22060001,"Parametric","",***,***,"uA",-3.208,2.848,-2.67348,1.30615,***,***,***,40,0,0,0.0164561,***
"PHYPCIe_MN_Delta_Zrx_T_OFF","Calc_ZRX_off_VDDMin",22075003,"Parametric","",20,***,"KOhm",72.9661,100000,11319.3,30957,***,0.121667,***,40,0,0,0.0164561,***
"PHYPCIe_MN_Delta_Zrx_T_OFF","Calc_ZRX_off_VDDMin",22075004,"Parametric","",20,***,"KOhm",62.3441,33333.3,3271.86,9768.61,***,0.110963,***,40,0,0,0.0164561,***
"PHYPCIe_MX_Delta_Zrx_T","RXP_Zon_VDDMax",84000001,"Parametric","",***,***,"mA",-0.007926,5.34669,4.49177,1.72546,***,***,***,40,0,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","RXN_Zon_VDDMax",84010001,"Parametric","",***,***,"mA",-0.007139,5.29299,4.53181,1.73714,***,***,***,40,0,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","RXP_Zon_Delta",84020001,"Parametric","",***,***,"mA",-0.006814,2.06961,1.73567,0.668241,***,***,***,40,0,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","RXN_Zon_Delta",84030001,"Parametric","",***,***,"mA",-0.007122,2.04554,1.75269,0.673016,***,***,***,40,0,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","Calc_ZRX_on_VDDMax",84045007,"Parametric","",40,70,"Ohm",45.7147,717703,58787.9,190827,-0.102568,0.10262,-0.102568,40,5,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","Calc_ZRX_on_VDDMax",84045008,"Parametric","",40,70,"Ohm",46.1901,8.82353e+06,259442,1.39992e+06,-0.0617589,0.061766,-0.0617589,40,5,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T","Calc_ZRX_on_VDDMax",84045009,"Parametric","",80,140,"Ohm",91.9736,9.53782e+06,318230,1.51906e+06,-0.0697999,0.069813,-0.0697999,40,5,0,0.0140855,***
"PHYPCIe_MX_Delta_Zrx_T_OFF","RXP_Zoff_VDDMax",84050001,"Parametric","",***,***,"uA",-2.742,-0.002,-2.21388,0.852963,***,***,***,40,0,0,0.0163746,***
"PHYPCIe_MX_Delta_Zrx_T_OFF","RXN_Zoff_VDDMax",84060001,"Parametric","",***,***,"uA",-3.208,2.848,-2.6736,1.30617,***,***,***,40,0,0,0.0163746,***
"PHYPCIe_MX_Delta_Zrx_T_OFF","Calc_ZRX_off_VDDMax",84075003,"Parametric","",20,***,"KOhm",72.9395,100000,11736,31596.6,***,0.1236,***,40,0,0,0.0163746,***
"PHYPCIe_MX_Delta_Zrx_T_OFF","Calc_ZRX_off_VDDMax",84075004,"Parametric","",20,***,"KOhm",62.3441,33333.3,3271.86,9768.61,***,0.110963,***,40,0,0,0.0163746,***
"PHYPCIe_I_Short_T","TXP_I_Short_VDDMin",21000001,"Parametric","",-90,-18,"mA",-24.2022,0.00397003,-20.5522,7.87274,0.108061,2.94043,0.108061,40,5,0,0.0384157,***
"PHYPCIe_I_Short_T","TXN_I_Short_VDDMin",21010001,"Parametric","",-90,-18,"mA",-27.0768,-0.00445575,-23.0533,8.70854,0.193422,2.56249,0.193422,40,5,0,0.0384157,***
"PHYPCIe_I_Short_T","TXP_I_Short_VDDMax",21030001,"Parametric","",-90,-18,"mA",-30.9875,1.6093e-05,-26.3349,10.0871,0.275432,2.10384,0.275432,40,5,0,0.0384157,***
"PHYPCIe_I_Short_T","TXN_I_Short_VDDMax",21040001,"Parametric","",-90,-18,"mA",-34.9986,-0.00445575,-29.8105,11.1755,0.352275,1.79528,0.352275,40,5,0,0.0384157,***
"PHYPCIe_MN_Vcm_T","TX_VCM_Idle_VDDMin",17000001,"Parametric","",0.6,1.3,"V",0.403102,1.84997,0.907463,0.17184,0.596412,0.596412,0.761438,40,2,0,0.0759116,***
"PHYPCIe_MN_Vcm_T","TX_VCM_Active_VDDMin",17010001,"Parametric","",0.6,1.3,"V",0.579914,1.85833,0.901969,0.167997,0.599153,0.599153,0.789756,40,2,0,0.0759116,***
"PHYPCIe_MN_Vcm_T","TX_VCM_Active_Idle_Delta_VDDMin",17025001,"Parametric","",-100,100,"mV",-42.586,176.812,-5.49397,52.2203,0.603252,0.603252,0.673391,40,4,0,0.0759116,***
"PHYPCIe_MX_Vcm_T","TX_VCM_Idle_VDDMax",17030001,"Parametric","",0.6,1.3,"V",0.401907,1.98791,1.16692,0.188749,0.235017,1.00119,0.235017,40,2,0,0.0775967,***
"PHYPCIe_MX_Vcm_T","TX_VCM_Active_VDDMax",17040001,"Parametric","",0.6,1.3,"V",0.579914,2.00787,1.16066,0.165731,0.280247,1.12765,0.280247,40,2,0,0.0775967,***
"PHYPCIe_MX_Vcm_T","TX_VCM_Active_Idle_Delta_VDDMax",17055001,"Parametric","",-100,100,"mV",-43.781,178.007,-6.25945,50.9036,0.613843,0.613843,0.695821,40,4,0,0.0775967,***
"PHYPCIe_MN_VOD_T","PHYPCIe_VODPre_Min",20045007,"Parametric","",0.8,1.2,"V",0.0252358,0.90592,0.767254,0.280002,-0.0389829,-0.0389829,0.515169,40,5,0,0.0396167,***
"PHYPCIe_MN_VOD_T","PHYPCIe_VODDe_Min",20045008,"Parametric","",538.693,604.424,"mV",0.21565,603.207,510.034,188.35,-0.0507208,-0.0507208,0.167048,40,5,0,0.0396167,***
"PHYPCIe_MN_VOD_T","PHYPCIe_VODdB_Min",20045009,"Parametric","",-4,-3,"dB",-41.3654,-0.37143,-4.63736,6.03882,-0.0351811,-0.0351811,0.0903795,40,5,0,0.0396167,***
"PHYPCIe_MX_VOD_T","PHYPCIe_VODPre_Max",20095007,"Parametric","",0.8,1.2,"V",0.0275072,0.945196,0.798306,0.291474,-0.00193713,-0.00193713,0.459382,40,5,0,0.0390841,***
"PHYPCIe_MX_VOD_T","PHYPCIe_VODDe_Max",20095008,"Parametric","",560.929,629.373,"mV",11.2946,628.439,530.424,195.214,-0.0520886,-0.0520886,0.168958,40,5,0,0.0390841,***
"PHYPCIe_MX_VOD_T","PHYPCIe_VODdB_Max",20095009,"Parametric","",-4,-3,"dB",-7.73156,-0.371927,-3.80872,1.19515,0.0533497,0.0533497,0.225554,40,5,0,0.0390841,***
"PHYPCIe_VregOff","PHYPCIe_Vreg_T",42000001,"Parametric","",-100,50,"mV",12.8563,24.3391,19.4318,2.96308,3.43879,13.4355,3.43879,40,0,0,0.224859,***
"PHYPCIe_VregOn_VDDMin","PHYPCIe_Vreg_T",42010001,"Parametric","",1.3,1.7,"V",0.000474504,1.50799,1.41631,0.329065,0.117819,0.117819,0.28737,40,2,0,0.0150637,***
"PHYPCIe_VregOn_VDDMax","PHYPCIe_Vreg_T",42030001,"Parametric","",1.3,1.7,"V",1.47083,1.50705,1.48978,0.00942919,6.709,6.709,7.43149,38,0,0,0.0144761,***
"F751744_NANDTREE_SpecLevels_Vmin_st","SpecLevels_Vmin_60ns_MPB_nandtree_DPM_st",204,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0127521,***
"F751744_NANDTREE_DIS_SpecLevels_Vmin_st","SpecLevels_Vmin_60ns_MPB_nandtree_dis_DPM_st",10204,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.011361,***
"SpecLevels_Vmin_120ns_T","SpecLevels_Vmin_120ns_MPB_volvoh_DPM",207,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0115645,***
"F751744_NANDTREE_VIH_VIL_Vmin_st","VIH_VIL_Vmin_60ns_MPB_nandtree_DPM_st",210,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.0117388,***
"F751744_NANDTREE_DIS_VIH_VIL_Vmin_st","VIH_VIL_Vmin_60ns_MPB_nandtree_dis_DPM_st",10210,"Parametric","",1,1,"",0,1,0.875,0.334932,-0.124403,-0.124403,0.124403,40,5,0,0.011426,***
