Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Calc_ZRX_off_VDDMax",84075003,"",0,1,"RXP",1,76.3359,"KOhm","P",0.0163746,***,""
"Calc_ZRX_off_VDDMax",84075004,"",0,1,"RXN",1,63.3513,"KOhm","P",0.0163746,***,""
"TXP_I_Short_VDDMin",21000001,"",0,1,"TXP_SHRT",1,-23.4548,"mA","P",0.0384157,***,""
"TXN_I_Short_VDDMin",21010001,"",0,1,"TXN_SHRT",1,-26.209,"mA","P",0.0384157,***,""
"TXP_I_Short_VDDMax",21030001,"",0,1,"TXP_SHRT",1,-29.9788,"mA","P",0.0384157,***,""
"TXN_I_Short_VDDMax",21040001,"",0,1,"TXN_SHRT",1,-33.7752,"mA","P",0.0384157,***,""
"TX_VCM_Idle_VDDMin",17000001,"",0,1,"TX_Vcm_Meas",1,0.898368,"V","P",0.0759116,***,""
"TX_VCM_Active_VDDMin",17010001,"",0,1,"TX_Vcm_Meas",1,0.882491,"V","P",0.0759116,***,""
"TX_VCM_Active_Idle_Delta_VDDMin",17025001,"",0,1,"@",1,-15.877,"mV","P",0.0759116,***,""
"TX_VCM_Idle_VDDMax",17030001,"",0,1,"TX_Vcm_Meas",1,1.18399,"V","P",0.0775967,***,""
"TX_VCM_Active_VDDMax",17040001,"",0,1,"TX_Vcm_Meas",1,1.168,"V","P",0.0775967,***,""
"TX_VCM_Active_Idle_Delta_VDDMax",17055001,"",0,1,"@",1,-15.991,"mV","P",0.0775967,***,""
"PHYPCIe_VODPre_Min",20045007,"",0,1,"TXP+TXN",1,0.853772,"V","P",0.0396167,***,""
"PHYPCIe_VODDe_Min",20045008,"",0,1,"TXP+TXN",1,568.714,"mV","P",0.0396167,***,""
"PHYPCIe_VODdB_Min",20045009,"",0,1,"TXP+TXN",1,-3.52896,"dB","P",0.0396167,***,""
"PHYPCIe_VODPre_Max",20095007,"",0,1,"TXP+TXN",1,0.889013,"V","P",0.0390841,***,""
"PHYPCIe_VODDe_Max",20095008,"",0,1,"TXP+TXN",1,591.738,"mV","P",0.0390841,***,""
"PHYPCIe_VODdB_Max",20095009,"",0,1,"TXP+TXN",1,-3.53557,"dB","P",0.0390841,***,""
"PHYPCIe_Vreg_T",42000001,"",0,1,"@",1,21.6695,"mV","P",0.224859,***,""
"PHYPCIe_Vreg_T",42010001,"",0,1,"@",1,1.48374,"V","P",0.0150637,***,""
"PHYPCIe_Vreg_T",42030001,"",0,1,"@",1,1.48327,"V","P",0.0144761,***,""
